fNight,PSF_deg,PSF_err_deg,number_muons
20130925,0.09003468690783477,0.005801389920244534,1
20130926,0.05510270972591968,3.998270248951394e-05,6247
20130927,0.05387798449830608,3.605970502905329e-05,7285
20130928,0.05380182498493885,3.549551268585943e-05,7494
20130929,0.05459379005971033,3.0618552671755485e-05,10420
20130930,0.05429592265416844,2.664207662816766e-05,13587
20131001,0.053659553735992856,3.71035652802888e-05,6817
20131002,0.07602571433259928,0.0034383818057736313,2
20131003,0.05650654982641144,2.9116962498331162e-05,12526
20131004,0.05587934672286149,2.8732343917078357e-05,12514
20131005,0.05480731124619477,2.6606974348795855e-05,13927
20131006,0.05506696357368414,2.601506090467064e-05,14733
20131007,0.05388511452894089,2.465754144787757e-05,15585
20131008,0.05462532490998763,2.5146828402833804e-05,15469
20131009,0.05511699352464239,2.5571286955573496e-05,15282
20131010,0.05583329327005666,3.0536015296768017e-05,11057
20131011,0.057281248428324584,4.087563015223736e-05,6577
20131012,0.05623649915946682,3.971881604406147e-05,6652
20131013,0.058508727145609486,5.1863007843722526e-05,4314
20131014,0.0567033584406983,5.285095449592722e-05,3835
20131015,0.056174949902132267,6.578957268370211e-05,2418
20131016,0.05722092372906468,0.00010668068509188736,963
20131021,0.057136787744653805,0.0001464644271618781,509
20131022,0.05625120918683312,5.943131463179507e-05,2973
20131023,0.05516721069438212,4.69510720909728e-05,4543
20131024,0.05513557159762179,6.274818897260632e-05,2540
20131026,0.05595590795934317,4.388599242082545e-05,5382
20131027,0.05628990219409046,3.36419292462896e-05,9294
20131028,0.05735296325309869,3.115693256907922e-05,11356
20131029,0.0558775696192889,2.6359705107155355e-05,14867
20131030,0.05478222070463042,2.612311752468053e-05,14432
20131031,0.05729599190160503,4.29317374559241e-05,5966
20131101,0.05256224629685118,2.5128495140054277e-05,14190
20131102,0.05398363310494797,2.269357872731768e-05,18477
20131103,0.05850339884270502,3.33570433530249e-05,10426
20131104,0.05711863108241615,2.7907005534525958e-05,14009
20131105,0.05593554689303605,2.6663605924080525e-05,14567
20131106,0.05654393511132474,2.6691919261693722e-05,14930
20131107,0.057565910169770584,2.994290355138441e-05,12412
20131108,0.0565843443621318,3.3230178722409815e-05,9650
20131109,0.054273019346415555,3.180244776512731e-05,9526
20131110,0.05670117961171143,4.013622309537178e-05,6649
20131111,0.05777526057406668,4.860199735576149e-05,4755
20131112,0.05769360600996058,5.5357710981125663e-05,3652
20131113,0.05831355553460624,6.452458706099271e-05,2763
20131114,0.05902291054724196,0.00010038892461873104,1178
20131120,0.05730576348438644,6.533663332142811e-05,2577
20131121,0.05594032977825036,6.477224068919634e-05,2469
20131122,0.05860916763014906,6.695452023733876e-05,2600
20131123,0.05630918269973575,4.527892346223599e-05,5135
20131124,0.056234284368097735,3.8786373611214216e-05,6975
20131125,0.05582014837766465,3.361494751592737e-05,9119
20131126,0.05657260968753134,2.8998893821369708e-05,12665
20131128,0.05739726199044502,2.8350994556149406e-05,13742
20131130,0.05357856279303004,3.653922857086578e-05,7005
20131201,0.05414933448569066,4.5402719163071125e-05,4649
20131203,0.05559442058344808,3.893626785684742e-05,6730
20131204,0.05607010760257478,2.4596971677780686e-05,17219
20131231,0.05555486514461821,2.37981576260551e-05,17984
20140101,0.055375712810374886,2.3957752507407997e-05,17607
20140102,0.05572422965185017,2.3742954498145616e-05,18202
20140103,0.054730281410217546,2.2762688585718243e-05,18965
20140104,0.051274250820487324,2.291697518572872e-05,16180
20140105,0.052651179038476395,2.4007491311773602e-05,15604
20140106,0.05628590040277167,3.0530344987864015e-05,11283
20140107,0.05591889645939306,5.0051592344474895e-05,4131
20140110,0.05664931986792258,4.392008566374883e-05,5540
20140111,0.05724783820672933,5.217362241305074e-05,4031
20140113,0.05671969210898908,0.00010181964648377384,1034
20140121,0.05540915384178911,3.685267826719178e-05,7452
20140125,0.05504144475429561,5.182744699636864e-05,3708
20140126,0.052753786115920374,9.032831830686397e-05,1107
20140127,0.05418875631279427,2.2795487392354724e-05,18474
20140128,0.05436799151522692,2.287238776442202e-05,18492
20140130,0.0527707589085302,2.3037332623099043e-05,17031
20140131,0.05323497807196131,2.889045607196778e-05,11043
20140201,0.055595750806785894,2.392341472995554e-05,17828
20140202,0.05593065398871732,2.398064239293282e-05,18005
20140203,0.05336886972475603,2.3632048519268224e-05,16598
20140204,0.05280881657329198,2.544569542705085e-05,13982
20140205,0.054180920701882906,3.0824465042896866e-05,10100
20140206,0.05416660874027062,3.321909882513224e-05,8691
20140207,0.05174963262879095,3.1538819455340425e-05,8710
20140208,0.05367488148937431,3.670342670489062e-05,6971
20140209,0.05469085959882354,4.594553780223633e-05,4647
20140210,0.05238375146320239,5.4722271137111544e-05,2970
20140211,0.05044899953601174,6.92163447338219e-05,1716
20140318,0.0585258482269575,0.00012638502767097775,727
20140319,0.06338784335881227,0.00012015849872736855,997
20140320,0.060827985906427254,6.633535807960645e-05,2923
20140321,0.06123527214510013,7.278624077370188e-05,2472
20140322,0.05993335165277032,5.2944761110313344e-05,4410
20140323,0.05978030319367783,4.897970354279652e-05,5118
20140324,0.05516099432883209,3.334759569501314e-05,9003
20140325,0.05882510871802937,4.569454069062033e-05,5636
20140326,0.059280297672969814,3.2220467479453734e-05,11567
20140327,0.061158266362964474,5.445757968140995e-05,4401
20140329,0.06144495590090749,4.8877094354004075e-05,5533
20140331,0.059264137928969084,0.00043993688543246236,62
20140403,0.05996879566533765,3.471139117209185e-05,10276
20140404,0.055491723488391174,3.100946035180364e-05,10563
20140406,0.05659373320350008,3.888309697000053e-05,7051
20140407,0.05581180450175347,4.604190500768021e-05,4859
20140408,0.055405567041859644,4.6775200261446076e-05,4625
20140409,0.05500562288556576,0.0002191829505716684,207
20140410,0.059317395224725476,6.941892809857541e-05,2496
20140416,0.06299142836464987,0.00016655640412097542,510
20140417,0.060868486384220426,8.541883410090093e-05,1766
20140418,0.05649123777023552,0.00014467779105061486,507
20140524,0.03992025818936376,2.8032605798582826e-05,7604
20140525,0.04231531371500286,1.875437641716023e-05,17881
20140526,0.04024228729787235,1.850843683229033e-05,17548
20140527,0.04218961834982036,1.890956395454255e-05,17535
20140528,0.04008141811734755,1.9729166240848832e-05,15397
20140529,0.040136429340095287,1.831748566708324e-05,17880
20140530,0.04379299671472395,1.901710768562301e-05,18079
20140531,0.043468682462802194,1.8771783156422996e-05,18389
20140601,0.045771688755114774,2.2658069133810996e-05,13519
20140602,0.045438040681212266,2.6791497670799033e-05,9567
20140603,0.046163912713320814,2.4939858458067022e-05,11302
20140604,0.04090083362790106,2.6676056710456433e-05,8559
20140605,0.041282304209952644,3.162392890103703e-05,6140
20140606,0.04011052504492951,2.6838135796753958e-05,8325
20140607,0.039512525433415546,3.575785598788063e-05,4640
20140608,0.04386619915828137,6.752272779546316e-05,1437
20140609,0.04426270574325676,0.00010848990791012884,563
20140615,0.046518981398121904,6.146313093117288e-05,1883
20140616,0.047143787926853815,3.9180155623492175e-05,4734
20140617,0.0457148073416174,3.628116751644373e-05,5263
20140618,0.045017716272157865,2.6275717532566632e-05,9817
20140619,0.040232370944316996,2.7407567005600915e-05,8001
20140620,0.04251939152603412,2.646350495342144e-05,9026
20140621,0.04179761583953687,2.4478923960497666e-05,10367
20140622,0.03996463983833277,2.46713854728594e-05,9825
20140623,0.04152164562183368,1.946841901261175e-05,16287
20140624,0.03940450545444438,2.1714063122460857e-05,12560
20140625,0.04428841956252454,2.1734689018473633e-05,14038
20140626,0.04456971601119985,2.2197199646253e-05,13571
20140628,0.046896826749151424,3.1189391013585994e-05,7407
20140629,0.0476026103299486,2.3893635311636354e-05,12936
20140630,0.04696905794616795,2.3632024955014658e-05,12934
20140701,0.04792433794148797,2.4175017370538582e-05,12783
20140702,0.0455189964414515,2.266587175803255e-05,13401
20140703,0.046419067832028524,2.4232845318231507e-05,12073
20140704,0.046481275979015794,2.775268804779474e-05,9224
20140705,0.04573083880985464,3.050837444855637e-05,7447
20140706,0.04539077390676572,2.860825380944315e-05,8378
20140707,0.043845798188679105,3.1531362208892715e-05,6586
20140708,0.04584971404840434,3.928278062297813e-05,4509
20140709,0.047749286116007456,6.280699543901912e-05,1882
20140714,0.04986829881670397,7.504262822243054e-05,1427
20140715,0.048964177629659815,4.5203561233490705e-05,3799
20140716,0.045321881527778864,3.736367515710193e-05,4901
20140717,0.04753265190158711,3.9419242182849556e-05,4741
20140718,0.04918257081272823,3.66439856261413e-05,5829
20140719,0.0479325430462044,2.8801104778374952e-05,9009
20140721,0.04628971832677896,2.064957677772746e-05,16555
20140722,0.04631955876643213,2.1394178162533177e-05,15438
20140723,0.045621795615574376,2.0629659867385683e-05,16230
20140724,0.04637727394197335,2.2270804213575527e-05,14274
